id,name,price,image_url,category,is_best_seller,discount_price,discount_type,discount_value
168,Spicy Tuna Crunch,7.50,https://images.unsplash.com/photo-1553621042-f6e147245754?w=400&q=80&roll2,Roll,t,0,none,0
169,Dragon Fire Eel,12.00,https://images.unsplash.com/photo-1617196034183-421b4917c92d?w=400&q=80&roll3,Roll,f,0,none,0
170,Rainbow Bridge Maki,13.50,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=400&q=80&roll4,Roll,f,0,none,0
171,Philadelphia Cream,8.00,https://images.unsplash.com/photo-1583623025817-d180a2221d0a?w=400&q=80&roll5,Roll,f,0,none,0
172,Salmon Avocado Gold,7.50,https://images.unsplash.com/photo-1611143669185-af224c5e3252?w=400&q=80&roll6,Roll,t,0,none,0
173,Deep Sea Spider,11.00,https://images.unsplash.com/photo-1562802378-063ec186a863?w=400&q=80&roll7,Roll,f,0,none,0
175,Midnight Eel Special,9.50,https://images.unsplash.com/photo-1563612116625-3012372fccce?w=400&q=80&roll9,Roll,f,0,none,0
177,Grand Party Boat,45.00,https://images.unsplash.com/photo-1553621042-f6e147245754?w=400&q=80&set1,Set,t,0,none,0
178,Executive Bento,18.00,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=400&q=80&set2,Set,f,0,none,0
179,Salmon Obsession Set,22.50,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=400&q=80&set3,Set,t,0,none,0
180,Vegetable Garden Combo,15.00,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?w=400&q=80&set4,Set,f,0,none,0
181,Imperial Sashimi Mix,30.00,https://images.unsplash.com/photo-1551248429-40975aa4de74?w=400&q=80&set5,Set,f,0,none,0
182,Quick Lunch Platter,14.00,https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=400&q=80&set6,Set,t,0,none,0
183,Sushi & Gyoza Box,16.50,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=400&q=80&set7,Set,f,0,none,0
184,Late Night Snack Set,13.00,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=400&q=80&set8,Set,f,0,none,0
185,Chef Omakase Selection,55.00,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=400&q=80&set9,Set,t,0,none,0
186,Traditional Nigiri Set,21.00,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?w=400&q=80&set10,Set,f,0,none,0
187,Prime Bluefin Tuna,5.00,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?w=400&q=80&sushi1,Sushi,t,0,none,0
188,Hamachi Yellowtail,4.50,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=400&q=80&sushi2,Sushi,f,0,none,0
190,Smoked Unagi Nigiri,5.50,https://images.unsplash.com/photo-1553621042-f6e147245754?w=400&q=80&sushi4,Sushi,t,0,none,0
191,Orange Tobiko Nigiri,4.00,https://images.unsplash.com/photo-1584269600464-37b1b58a9fe7?w=400&q=80&sushi5,Sushi,f,0,none,0
195,Sweet Egg Omelet,3.00,https://images.unsplash.com/photo-1611143669185-af224c5e3252?w=400&q=80&sushi9,Sushi,f,0,none,0
198,Winter Braised Beef,18.00,https://images.unsplash.com/photo-1544025162-d76694265947?w=400&q=80&win2,Winter,f,0,none,0
200,Hot Soba Noodle,12.00,https://images.unsplash.com/photo-1514326640560-7d063ef2aed5?w=400&q=80&win4,Winter,f,0,none,0
202,Creamy Pumpkin Stew,14.00,https://images.unsplash.com/photo-1476718406336-bb5a9690ee2a?w=400&q=80&win6,Winter,t,0,none,0
206,Hot Red Bean Sweet,7.00,https://images.unsplash.com/photo-1627308595229-7830a5c91f9f?w=400&q=80&win10,Winter,f,0,none,0
208,Dynamite Baked Roll,15.00,https://images.unsplash.com/photo-1583623025817-d180a2221d0a?w=400&q=80&hr2,Hot Roll,t,0,none,0
209,Fried Philly Crunch,11.50,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=400&q=80&hr3,Hot Roll,t,0,none,0
210,Toasted Eel Special,13.00,https://images.unsplash.com/photo-1617196034183-421b4917c92d?w=400&q=80&hr4,Hot Roll,f,0,none,0
